,x_1,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_22,x_23,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58
32,40,0,10,63,115,0,0,0,0,0,2,0,0,2,0,0,12,45,12,1,33,16,74,137,37,8,0,0,0,0,78,36,510,62,1,8,9,2,0,8,60,18,0,0,0,0,0,0,0,0,0,0,0,48,39
33,21,0,2,64,125,0,0,0,0,0,0,0,0,0,0,1,12,25,10,1,47,10,70,138,24,12,1,0,0,0,70,31,330,44,0,9,9,2,0,3,70,20,0,0,0,0,0,0,0,0,0,0,0,43,40
34,25,0,0,63,110,0,1,2,0,0,0,1,0,0,0,0,8,55,12,1,57,12,70,152,25,8,0,0,0,0,77,33,600,57,0,9,9,2,0,3,60,18,0,0,0,0,0,0,0,0,0,0,0,46,41
35,24,30,7,65,127,0,0,2,0,0,1,0,0,0,0,0,14,45,13,1,63,13,60,148,34,12,0,0,0,0,84,38,430,74,1,9,9,0,3,9,62,18,0,0,0,0,0,0,0,0,0,0,0,46,40
36,19,10,4,62,117,0,0,2,0,0,1,2,0,0,0,0,10,35,15,1,27,12,50,137,26,9,0,0,0,0,77,35,425,68,1,6,9,3,0,8,58,16,0,0,0,0,0,0,0,0,0,0,0,45,41
37,22,0,5,66,160,0,0,0,0,0,0,0,0,0,0,0,11,45,6,1,60,11,70,176,26,12,0,0,0,0,74,32,690,52,0,9,10,2,0,2,55,15,0,0,0,0,0,0,0,0,0,0,0,44,41
38,23,20,7,62,115,0,0,0,0,0,0,1,0,0,0,0,9,45,13,1,50,16,60,132,25,11,2,0,0,0,72,31,365,40,0,8,8,4,0,4,39,13,0,0,0,0,0,0,0,0,0,0,0,43,37
39,25,30,9,61,130,0,0,0,0,0,0,0,0,0,0,0,9,55,17,1,57,16,74,138,26,11,3,0,0,0,74,22,440,39,1,8,9,1,0,5,49,15,0,0,0,3,0,0,0,0,0,0,3,43,36
40,23,1,23,59,109,0,0,0,1,0,1,0,0,0,0,0,12,45,10,1,60,10,70,130,28,12,0,0,0,0,76,30,400,51,1,9,9,3,0,3,50,14,0,0,0,0,0,0,0,0,0,0,0,45,37
41,28,0,0,52,129,0,0,0,0,0,0,2,0,0,0,0,12,45,10,1,53,13,70,146,35,12,0,0,0,0,80,31,490,50,1,9,9,2,0,3,57,15,0,0,0,0,0,0,0,0,0,0,0,49,41
42,31,0,0,62,137,0,0,0,0,0,1,1,0,0,0,0,12,55,18,1,57,13,70,151,38,12,0,0,0,0,78,33,495,67,1,7,9,3,0,4,52,15,0,0,0,0,0,0,0,0,0,0,0,46,39
43,23,0,0,65,118,0,0,2,0,0,0,0,0,0,0,0,14,65,10,1,83,12,62,129,25,14,0,0,0,0,74,23,620,65,1,9,10,2,0,2,60,18,0,0,0,0,0,0,0,0,0,0,0,46,39
44,38,20,15,66,128,0,0,0,0,0,0,2,0,0,0,1,11,45,13,1,50,14,76,142,39,10,1,0,0,0,87,42,430,36,1,9,9,0,2,5,40,22,0,0,0,0,0,0,0,0,0,0,0,48,39
45,24,2,8,64,155,0,0,0,0,0,1,0,0,0,0,0,9,35,15,1,33,16,70,157,25,8,0,0,0,0,82,39,430,69,1,9,9,2,0,5,62,19,0,0,0,0,0,0,0,0,0,0,0,46,41
46,26,15,10,62,140,0,0,0,0,0,0,0,0,1,0,0,9,45,14,1,40,16,60,153,27,8,0,0,0,0,78,34,360,70,0,8,8,2,0,7,66,22,0,0,0,0,0,0,0,0,0,0,0,45,40
47,25,0,0,60,145,0,0,0,1,0,2,0,1,0,0,0,12,35,13,1,33,14,80,181,28,8,0,0,0,0,80,33,500,52,0,9,9,3,0,3,39,11,0,0,0,0,0,0,0,0,0,0,0,47,42
48,24,0,0,68,130,0,0,2,0,0,0,0,0,0,1,0,12,55,5,1,77,14,60,150,25,12,0,0,0,0,78,27,600,58,1,9,9,2,0,11,57,18,0,0,0,0,0,0,0,0,0,0,0,47,42
49,25,20,6,65,165,0,0,0,0,0,2,0,0,0,0,0,10,85,12,1,60,11,70,171,29,10,0,0,0,0,83,37,450,61,1,9,9,2,0,9,66,20,0,0,0,0,0,0,0,0,0,0,0,46,38
50,23,10,8,61,110,0,1,0,0,0,0,1,1,2,0,0,7,45,20,1,40,13,52,139,26,7,0,0,0,0,80,34,430,57,1,9,10,0,2,4,49,14,0,0,0,0,0,0,0,0,0,0,0,48,42
51,30,0,0,63,155,0,0,0,1,0,0,0,0,1,0,0,12,75,14,1,43,13,100,194,32,9,0,0,0,0,80,30,525,72,1,8,9,2,0,8,68,20,1,0,0,0,0,0,0,0,0,0,0,47,39
52,39,30,19,67,182,0,0,0,0,0,0,1,0,0,0,0,12,75,18,1,40,15,60,188,43,9,0,0,0,0,81,30,575,53,1,9,9,2,0,5,57,19,0,0,0,0,0,0,0,0,0,0,0,47,40
53,27,1,12,65,135,0,0,0,1,0,0,1,0,0,1,0,10,75,17,1,70,11,60,163,38,12,0,1,0,0,84,32,490,72,0,9,9,2,0,1,69,22,0,0,0,0,0,0,0,0,0,0,0,46,42
54,30,10,16,65,145,2,0,1,0,0,1,1,0,0,0,1,13,85,15,1,73,11,80,168,40,12,0,1,0,0,78,32,620,87,1,9,10,2,0,2,56,18,0,0,0,0,0,0,0,0,0,0,0,46,42
55,28,10,11,64,127,0,3,0,0,0,0,0,0,0,0,0,12,45,12,1,60,12,56,161,30,12,0,0,0,0,80,37,500,58,0,7,9,3,0,9,51,15,0,0,0,0,0,0,0,0,0,0,0,46,41
56,33,0,0,64,145,0,0,0,0,0,0,1,0,0,1,0,12,55,10,1,80,12,78,168,35,12,1,1,0,0,31,12,200,43,0,4,8,6,0,4,58,16,5,1,0,1,0,0,0,1,1,0,3,45,37
57,33,0,0,64,145,0,0,0,0,0,0,1,0,0,1,0,12,55,10,1,80,12,78,168,35,12,1,1,0,0,21,15,400,41,0,2,8,2,0,7,52,16,0,0,0,1,0,0,0,0,0,0,1,46,37
58,25,10,8,63,97,0,0,0,0,0,0,1,1,1,0,0,9,45,13,1,40,13,80,130,26,8,0,0,0,0,78,32,500,46,1,8,9,3,0,1,54,16,0,0,0,0,0,0,0,0,0,0,0,45,42
59,26,30,6,61,140,0,0,0,0,0,0,1,0,0,0,0,12,15,10,1,40,10,80,154,31,12,0,0,0,0,79,27,370,59,0,9,9,2,0,7,64,20,5,1,0,0,0,0,0,0,0,0,1,47,38
60,27,0,0,64,124,0,0,0,0,0,1,1,0,1,0,0,9,45,10,1,53,14,90,142,29,12,0,2,0,0,84,34,510,75,0,9,9,2,0,14,59,17,0,0,0,0,0,0,0,0,0,0,0,45,41
61,28,0,0,58,140,0,0,0,0,0,0,1,0,0,0,0,12,35,10,1,53,13,70,158,33,12,0,1,0,0,83,38,500,57,1,8,8,2,0,6,49,14,0,0,0,0,0,0,0,0,0,0,0,46,38
62,29,4,5,62,140,0,0,1,0,0,0,1,0,0,0,0,13,65,15,1,57,13,80,130,31,11,0,0,0,0,82,35,390,83,1,8,9,3,0,3,62,16,0,0,0,0,0,0,0,0,0,0,0,46,41
63,23,30,9,63,145,4,0,0,0,0,1,0,0,0,0,1,12,65,10,1,57,12,74,161,26,9,1,0,0,1,82,34,400,51,0,7,9,2,0,4,67,20,0,0,0,0,0,0,0,0,0,0,0,45,39
64,26,0,0,64,120,0,0,0,0,0,0,0,0,0,0,0,12,45,7,1,70,13,76,139,31,12,0,0,0,0,83,41,410,78,1,9,9,2,0,3,61,18,0,0,0,0,0,0,0,0,0,0,0,48,41
65,39,0,0,66,144,0,0,2,1,0,0,0,0,0,0,0,12,65,12,1,70,13,80,169,40,12,0,2,0,0,82,30,590,73,1,9,9,3,0,6,53,15,0,0,0,0,0,0,0,0,0,0,0,49,41
66,31,0,0,62,145,0,0,0,0,0,0,0,0,0,0,0,12,45,9,1,70,13,76,156,37,12,0,1,0,0,83,34,530,88,1,8,9,0,3,8,65,20,0,0,0,0,0,0,0,0,0,0,0,49,39
67,25,0,0,66,145,0,0,0,0,0,1,0,0,1,0,0,12,35,17,1,73,9,78,181,30,15,0,0,0,0,84,38,620,75,1,9,9,2,0,14,44,10,3,0,0,0,0,0,2,0,0,0,2,46,39
68,38,4,22,66,204,0,0,0,1,0,0,0,0,0,0,0,12,95,13,1,60,11,84,215,39,10,0,0,0,0,82,33,710,57,1,9,9,3,0,4,49,15,0,0,0,0,0,0,0,0,0,0,0,47,40
69,29,0,0,63,118,0,0,0,0,0,0,0,0,0,0,0,14,85,7,1,80,13,66,142,35,12,0,0,0,0,80,33,590,68,1,7,9,3,0,2,61,18,0,0,0,0,0,0,0,0,0,0,0,48,42
70,29,0,0,64,148,0,0,0,0,0,0,1,0,0,1,0,12,55,13,1,80,11,60,162,35,12,0,0,0,0,79,31,560,98,0,9,9,2,0,2,57,16,0,0,0,0,0,0,0,0,0,0,0,46,41
71,23,10,6,63,110,0,0,0,0,0,0,1,0,2,0,0,10,45,20,1,60,14,80,109,27,12,1,1,0,0,49,16,390,52,1,8,9,3,0,9,61,20,0,0,0,0,0,0,0,0,0,0,0,45,38
72,25,6,8,63,104,0,0,0,0,0,0,1,0,0,0,0,12,45,17,1,60,13,74,117,29,12,1,1,0,0,74,28,410,44,0,9,9,3,0,8,52,15,0,0,0,0,0,0,0,0,0,0,0,43,37
73,21,20,4,66,160,0,0,0,0,0,0,0,0,0,0,0,12,55,8,1,57,13,70,168,31,12,0,0,0,0,84,31,540,57,0,9,9,2,0,2,54,16,0,0,0,0,0,0,0,0,0,0,0,44,42
74,24,20,7,66,180,0,0,0,0,0,0,1,0,0,0,0,12,25,10,1,50,13,78,182,32,12,0,0,0,0,81,30,680,83,1,8,9,2,0,1,65,16,0,0,0,0,0,0,0,0,0,0,0,47,42
75,28,23,10,65,133,0,0,1,0,0,2,0,0,0,0,0,9,35,15,1,53,11,44,170,40,12,0,0,0,0,76,22,510,51,0,9,10,2,0,6,54,15,0,0,0,0,0,0,0,0,0,0,0,46,42
76,24,10,9,61,115,0,0,0,0,0,1,2,2,1,0,0,8,45,18,1,70,14,60,124,28,12,1,0,0,0,78,29,415,53,1,8,9,2,0,0,58,17,6,2,2,0,0,0,0,0,0,0,1,43,37
77,42,10,18,63,119,0,0,0,0,0,1,1,0,2,0,0,12,55,12,1,73,14,68,137,41,12,0,2,0,0,87,33,550,66,0,9,9,3,0,4,57,16,0,0,0,0,0,0,0,0,0,0,0,46,41
78,39,0,7,62,135,0,0,0,1,0,0,0,0,0,0,0,12,75,13,1,53,13,74,151,45,8,0,0,0,0,83,34,410,55,1,9,9,0,3,11,56,15,0,0,0,0,0,0,2,0,0,0,1,48,39
79,41,0,9,62,140,0,0,0,0,0,0,0,0,1,0,0,12,65,12,1,50,13,78,149,46,8,0,1,0,0,76,35,425,48,0,9,9,0,2,6,60,16,0,0,0,0,0,0,0,0,0,0,0,45,39
80,42,0,0,64,210,2,1,0,0,0,0,0,0,2,0,0,8,65,11,1,70,14,88,276,42,12,0,0,0,0,82,38,390,58,1,8,9,3,0,8,56,18,0,0,0,0,0,0,0,0,0,0,0,48,40
81,27,30,7,63,140,0,0,0,0,0,1,1,0,0,0,0,12,45,18,1,63,10,76,146,28,10,0,3,0,0,85,36,490,50,0,9,9,2,0,3,51,16,0,0,0,0,0,0,0,0,0,0,0,43,40
82,23,2,8,64,157,1,1,0,0,0,0,2,0,0,0,0,13,35,12,1,43,11,70,160,26,10,0,0,0,0,82,38,350,49,0,8,9,2,1,5,65,19,4,0,0,0,0,0,0,0,0,0,2,46,40
83,25,3,8,64,161,1,1,0,0,0,0,0,0,0,0,0,13,55,15,1,57,13,70,166,27,10,0,0,0,0,86,38,365,53,0,8,9,3,0,8,73,20,3,0,0,0,0,0,0,0,0,0,0,46,41
84,28,1,9,65,126,0,0,2,4,0,0,1,0,0,0,0,12,45,12,1,70,14,60,151,29,13,0,0,0,0,84,33,640,38,1,9,9,3,0,12,45,13,0,0,0,0,0,0,0,0,0,0,0,45,43
85,30,0,0,58,115,1,0,0,1,0,1,2,0,2,0,0,15,5,6,1,40,13,68,129,32,11,1,1,0,0,80,35,395,63,0,10,10,0,3,7,60,20,0,0,0,0,0,0,0,0,0,0,0,44,37
86,27,10,12,65,155,0,0,0,0,0,0,2,0,0,0,0,11,65,10,1,57,14,70,181,30,10,0,0,0,0,78,40,450,53,0,8,9,2,0,6,66,18,0,0,0,0,0,0,0,0,0,0,0,44,41
87,38,0,0,64,150,1,0,0,0,0,0,0,0,0,0,1,8,85,12,1,50,11,90,177,38,8,1,1,0,0,80,35,675,67,1,8,9,0,2,6,69,19,0,0,0,0,0,0,0,0,0,0,0,47,42
88,29,0,12,67,194,0,0,0,0,0,0,0,0,1,0,0,16,55,8,1,73,11,66,206,31,12,1,0,1,0,82,32,510,58,0,9,9,2,2,8,64,20,0,0,0,0,0,0,0,0,0,0,0,47,38
89,29,0,12,67,194,0,0,0,0,0,0,0,0,1,0,0,16,55,8,1,73,11,66,206,31,12,1,0,1,0,84,35,400,54,1,8,9,2,2,8,58,18,0,0,0,0,0,0,0,0,0,0,0,48,38
90,22,30,6,61,97,0,0,0,0,0,0,0,2,0,0,0,11,45,10,1,47,12,68,133,23,9,1,0,0,0,78,39,370,63,0,9,9,3,0,3,72,22,0,0,0,0,0,0,0,0,0,0,0,44,40
91,27,0,0,65,202,0,0,0,1,0,1,0,1,0,0,0,12,35,10,1,43,13,80,213,39,12,0,0,0,0,82,35,650,56,0,9,9,3,0,0,54,15,0,0,0,0,0,0,0,0,0,0,0,46,40
92,26,0,0,61,120,0,0,0,0,0,0,0,0,0,0,0,12,35,17,1,43,15,70,134,29,10,0,0,0,0,76,26,475,71,1,9,9,3,0,3,64,16,0,0,0,0,0,0,0,0,0,0,0,46,41
93,27,0,12,64,115,0,0,1,0,0,0,0,0,1,0,0,14,55,10,1,77,11,82,147,28,13,0,0,0,0,77,38,500,58,1,8,9,1,2,7,61,17,0,0,0,0,0,0,0,0,0,0,0,46,39
94,23,0.5,6,60,92,0,0,0,0,0,0,0,0,1,0,0,9,45,17,1,70,12,56,121,24,12,0,1,0,0,85,34,400,53,0,8,8,2,0,3,53,16,0,0,0,0,0,0,0,0,0,0,0,44,50
95,24,0,0,63,100,1,1,0,0,0,1,0,0,0,0,0,11,45,10,1,30,15,70,123,27,9,0,0,0,0,78,34,320,71,0,8,9,3,0,9,61,16,0,0,0,0,0,0,0,0,0,0,0,44,42
96,22,5,6,66,130,0,0,0,0,0,0,0,0,0,0,0,12,55,10,1,57,13,70,157,25,10,0,0,0,0,83,35,390,66,0,9,9,2,0,4,58,19,0,0,0,0,0,0,0,0,0,0,0,46,40
97,23,20,6,61,118,0,1,0,0,0,0,0,0,0,1,0,10,55,13,1,67,15,70,139,24,12,0,0,0,0,81,34,650,47,1,9,9,3,0,7,50,14,0,0,0,0,0,0,0,0,0,0,0,48,40
98,38,0.5,22,61,105,1,0,0,0,0,0,1,0,0,0,0,12,55,20,1,53,11,92,119,39,9,0,3,1,0,72,25,260,52,0,9,9,3,0,12,67,19,0,0,0,0,0,0,0,0,0,0,0,43,41
99,29,20,12,66,140,0,0,0,0,0,0,0,0,0,0,0,12,55,10,1,57,12,60,157,28,12,1,1,0,0,81,21,430,49,1,9,9,4,0,7,43,13,0,0,0,0,0,0,0,0,0,0,0,47,33
100,25,30,8,62,122,1,0,0,0,0,1,0,1,2,2,0,10,45,10,1,50,12,70,145,28,11,0,0,0,0,82,26,360,60,1,9,9,3,0,8,60,20,6,0,0,0,0,0,0,0,0,0,0,44,41
101,25,0,0,65,115,0,0,0,0,0,2,2,0,0,0,0,12,45,8,1,73,12,60,137,29,16,0,0,0,0,81,27,320,50,0,9,9,3,0,3,55,16,0,0,0,0,0,0,0,0,0,0,0,47,40
102,31,0,0,63,146,0,0,0,0,0,0,1,0,0,0,0,12,45,10,1,73,12,70,171,34,12,0,0,0,0,79,29,520,98,0,10,10,2,0,2,52,16,0,0,0,0,0,0,0,0,0,0,0,45,44
103,22,15,8,62,136,0,0,0,0,0,0,0,1,1,0,0,12,35,13,1,67,11,74,132,26,12,0,0,0,0,77,29,290,44,0,8,9,4,0,4,60,18,0,0,0,0,0,0,0,0,0,0,0,44,37
104,36,0,17,61,135,0,0,0,0,0,0,0,1,2,0,0,14,75,11,1,83,15,70,154,36,13,0,1,0,0,82,30,500,75,0,9,9,2,0,3,61,17,0,0,0,0,0,0,0,0,0,0,0,45,40
105,27,3,17,60,117,1,0,0,0,0,2,2,0,1,1,0,9,45,12,1,43,10,70,138,37,8,0,0,0,0,83,34,330,49,1,9,10,2,0,3,67,18,0,0,0,0,0,0,0,0,0,0,0,45,37
106,21,0,7,60,87,0,0,2,0,0,0,0,0,0,0,0,12,35,13,1,37,12,70,107,24,8,0,0,0,0,80,28,540,56,0,8,9,2,0,3,61,17,4,0,0,0,0,0,0,0,0,0,0,46,40
107,22,10,8,61,88,0,0,0,0,0,0,0,0,0,0,0,12,65,17,1,57,12,68,108,25,11,0,0,0,0,74,36,455,58,1,9,9,3,0,3,49,19,0,0,0,0,0,0,0,0,0,0,0,47,41
108,23,2,3,60,109,0,0,0,0,0,1,0,0,0,0,1,10,35,14,1,63,12,76,136,24,12,0,0,0,0,80,30,480,43,0,5,8,3,0,7,60,20,0,0,0,0,0,0,0,0,0,0,0,45,39
109,26,0,0,60,145,0,0,0,1,0,1,0,1,0,0,0,10,55,14,1,77,11,68,152,27,12,0,0,0,0,79,35,520,56,1,7,8,2,0,6,56,17,0,0,0,0,0,0,0,0,0,0,0,44,41
110,26,20,10,63,120,0,0,0,0,0,4,0,0,0,0,0,12,25,17,1,53,15,90,131,27,12,3,0,0,0,82,37,550,82,0,5,9,2,0,6,52,15,0,0,0,0,0,0,0,0,0,0,0,46,34
111,24,0.125,6,65,175,0,0,0,1,0,0,0,0,0,1,0,12,45,13,1,43,11,68,175,28,10,0,2,0,1,79,29,390,78,1,9,9,3,0,3,63,19,0,0,0,0,0,0,0,0,0,0,0,46,39
112,31,0,0,64,124,0,0,0,0,0,3,1,0,0,1,0,14,45,10,1,73,11,80,145,34,12,0,1,0,0,83,39,420,61,0,9,9,3,0,5,54,16,0,0,0,0,0,0,0,0,0,0,0,46,42
113,20,10,3,59,115,0,0,0,0,0,0,1,0,0,1,0,11,55,8,1,63,10,62,128,21,12,0,0,0,0,82,39,445,60,0,5,9,2,0,2,44,13,0,0,0,0,0,0,0,0,0,0,0,46,40
114,21,10,4,59,119,0,0,0,0,0,0,0,0,0,0,0,11,55,12,1,75,9,68,135,22,12,0,0,0,0,78,32,380,64,0,9,9,3,0,4,46,15,0,0,0,0,0,0,0,0,0,0,0,45,40
115,36,0,13,63,160,0,0,0,0,0,0,1,0,0,0,0,12,45,6,1,53,14,60,178,39,12,0,0,0,0,75,27,360,53,1,9,10,2,0,6,57,16,0,0,0,0,0,0,0,0,0,0,0,47,37
116,23,20,9,62,160,1,0,1,0,0,0,0,0,1,0,1,11,35,5,1,43,13,80,172,26,11,0,0,0,1,79,38,220,87,0,3,9,3,0,2,70,20,0,0,0,0,0,0,0,0,0,0,0,46,40
117,29,10,7,63,150,0,0,0,0,0,1,0,0,0,0,0,12,35,15,1,43,9,65,182,31,12,0,0,0,0,75,39,380,52,1,9,8,3,0,3,66,22,0,0,0,0,1,0,0,0,0,0,1,47,39
118,25,1,4,62,116,1,0,0,0,0,0,0,0,1,0,0,10,25,6,1,47,11,60,135,29,12,0,1,0,0,81,30,550,55,0,9,9,2,0,1,61,21,0,0,0,0,0,0,0,0,0,0,0,44,42
119,21,3,5,66,135,0,0,0,0,0,0,0,0,0,0,0,12,45,8,1,77,12,66,150,26,12,0,0,0,0,79,34,470,43,1,9,9,3,0,6,58,16,0,0,0,0,0,0,0,0,0,0,0,46,41
120,22,0.125,6,66,131,0,0,0,0,0,0,0,0,0,0,0,12,55,10,1,80,12,76,155,28,12,0,0,0,0,86,38,475,56,0,8,9,3,0,9,58,20,0,0,0,0,0,0,0,0,0,0,0,46,40
